step,loss,lr,val_loss,ari
1,0.017048,0.00000004,nan,0.000045
100,0.019714,0.00000400,,
200,0.019296,0.00000800,,
300,0.009960,0.00001200,,
400,0.010661,0.00001600,,
500,0.009359,0.00002000,,
600,0.003479,0.00002400,,
700,0.007057,0.00002800,,
800,0.010033,0.00003200,,
900,0.007390,0.00003600,,
1000,0.009120,0.00004000,,
1100,0.009017,0.00004400,,
1200,0.006980,0.00004800,,
1300,0.009501,0.00005200,,
1400,0.008308,0.00005600,,
1500,0.008140,0.00006000,,
1600,0.008018,0.00006400,,
1700,0.009075,0.00006800,,
1800,0.008829,0.00007200,,
1900,0.010326,0.00007600,,
2000,0.005976,0.00008000,nan,0.007907
2100,0.010788,0.00008400,,
2200,0.007052,0.00008800,,
2300,0.007150,0.00009200,,
2400,0.008218,0.00009600,,
2500,0.007639,0.00010000,,
2600,0.007459,0.00010400,,
2700,0.004609,0.00010800,,
2800,0.008838,0.00011200,,
2900,0.007450,0.00011600,,
3000,0.005742,0.00012000,,
3100,0.005575,0.00012400,,
3200,0.005296,0.00012800,,
3300,0.004169,0.00013200,,
3400,0.005124,0.00013600,,
3500,0.004501,0.00014000,,
3600,0.005234,0.00014400,,
3700,0.007892,0.00014800,,
3800,0.005163,0.00015200,,
3900,0.002964,0.00015600,,
4000,0.007067,0.00016000,nan,0.047683
4100,0.003365,0.00016400,,
4200,0.006756,0.00016800,,
4300,0.004698,0.00017200,,
4400,0.004628,0.00017600,,
4500,0.003506,0.00018000,,
4600,0.005874,0.00018400,,
4700,0.004943,0.00018800,,
4800,0.003769,0.00019200,,
4900,0.003823,0.00019600,,
5000,0.004136,0.00020000,,
5100,0.006283,0.00020400,,
5200,0.006323,0.00020800,,
5300,0.004333,0.00021200,,
5400,0.003628,0.00021600,,
5500,0.003719,0.00022000,,
5600,0.004133,0.00022400,,
5700,0.003770,0.00022800,,
5800,0.004806,0.00023200,,
5900,0.003160,0.00023600,,
6000,0.003201,0.00024000,nan,0.069960
6100,0.005251,0.00024400,,
6200,0.005488,0.00024800,,
6300,0.006274,0.00025200,,
6400,0.007133,0.00025600,,
6500,0.002744,0.00026000,,
6600,0.001975,0.00026400,,
6700,0.004685,0.00026800,,
6800,0.005136,0.00027200,,
6900,0.004874,0.00027600,,
7000,0.004537,0.00028000,,
7100,0.004003,0.00028400,,
7200,0.005034,0.00028800,,
7300,0.006058,0.00029200,,
7400,0.002326,0.00029600,,
7500,0.005824,0.00030000,,
7600,0.004962,0.00030400,,
7700,0.005241,0.00030800,,
7800,0.003381,0.00031200,,
7900,0.004003,0.00031600,,
8000,0.004789,0.00032000,nan,0.056236
8100,0.005705,0.00032400,,
8200,0.005420,0.00032800,,
8300,0.003015,0.00033200,,
8400,0.004769,0.00033600,,
8500,0.004830,0.00034000,,
8600,0.004301,0.00034400,,
8700,0.004319,0.00034800,,
8800,0.005429,0.00035200,,
8900,0.002881,0.00035600,,
9000,0.004418,0.00036000,,
9100,0.002972,0.00036400,,
9200,0.003663,0.00036800,,
9300,0.004857,0.00037200,,
9400,0.002996,0.00037600,,
9500,0.002901,0.00038000,,
9600,0.002774,0.00038400,,
9700,0.003890,0.00038800,,
9800,0.003944,0.00039200,,
9900,0.004494,0.00039600,,
10000,0.003544,0.00040000,nan,0.029080
10100,0.001989,0.00039972,,
10200,0.003200,0.00039945,,
10300,0.002807,0.00039917,,
10400,0.002504,0.00039889,,
10500,0.005013,0.00039862,,
10600,0.003216,0.00039834,,
10700,0.003430,0.00039806,,
10800,0.004509,0.00039779,,
10900,0.004960,0.00039751,,
11000,0.004520,0.00039724,,
11100,0.003020,0.00039696,,
11200,0.003823,0.00039669,,
11300,0.004677,0.00039641,,
11400,0.005154,0.00039614,,
11500,0.003170,0.00039586,,
11600,0.004782,0.00039559,,
11700,0.003459,0.00039531,,
11800,0.003534,0.00039504,,
11900,0.004777,0.00039477,,
12000,0.003400,0.00039449,nan,0.011653
12100,0.003573,0.00039422,,
12200,0.003544,0.00039395,,
12300,0.004122,0.00039367,,
12400,0.003566,0.00039340,,
12500,0.003395,0.00039313,,
12600,0.004357,0.00039286,,
12700,0.005819,0.00039258,,
12800,0.003929,0.00039231,,
12900,0.004236,0.00039204,,
13000,0.003273,0.00039177,,
13100,0.002539,0.00039150,,
13200,0.003266,0.00039123,,
13300,0.004810,0.00039095,,
13400,0.003509,0.00039068,,
13500,0.004948,0.00039041,,
13600,0.003158,0.00039014,,
13700,0.003688,0.00038987,,
13800,0.002922,0.00038960,,
13900,0.002682,0.00038933,,
14000,0.003170,0.00038906,nan,0.040093
14100,0.004138,0.00038879,,
14200,0.004008,0.00038852,,
14300,0.003364,0.00038825,,
14400,0.003281,0.00038798,,
14500,0.004317,0.00038772,,
14600,0.002899,0.00038745,,
14700,0.003565,0.00038718,,
14800,0.004493,0.00038691,,
14900,0.002820,0.00038664,,
15000,0.004243,0.00038637,,
15100,0.002730,0.00038611,,
15200,0.002478,0.00038584,,
15300,0.002345,0.00038557,,
15400,0.003979,0.00038530,,
15500,0.004732,0.00038504,,
15600,0.003865,0.00038477,,
15700,0.001578,0.00038450,,
15800,0.004515,0.00038424,,
15900,0.002489,0.00038397,,
16000,0.002717,0.00038371,nan,0.015082
16100,0.003575,0.00038344,,
16200,0.002717,0.00038317,,
16300,0.004704,0.00038291,,
16400,0.003473,0.00038264,,
16500,0.003508,0.00038238,,
16600,0.003705,0.00038211,,
16700,0.003228,0.00038185,,
16800,0.004196,0.00038158,,
16900,0.004067,0.00038132,,
17000,0.001934,0.00038106,,
17100,0.006129,0.00038079,,
17200,0.004986,0.00038053,,
17300,0.003055,0.00038026,,
17400,0.002888,0.00038000,,
17500,0.002225,0.00037974,,
17600,0.004400,0.00037947,,
17700,0.002413,0.00037921,,
17800,0.002771,0.00037895,,
17900,0.002798,0.00037869,,
18000,0.003768,0.00037842,nan,0.018268
18100,0.001675,0.00037816,,
18200,0.003800,0.00037790,,
18300,0.003428,0.00037764,,
18400,0.003344,0.00037738,,
18500,0.002200,0.00037711,,
18600,0.002960,0.00037685,,
18700,0.002634,0.00037659,,
18800,0.002512,0.00037633,,
18900,0.003213,0.00037607,,
19000,0.003356,0.00037581,,
19100,0.002387,0.00037555,,
19200,0.002311,0.00037529,,
19300,0.003418,0.00037503,,
19400,0.003297,0.00037477,,
19500,0.005098,0.00037451,,
19600,0.003054,0.00037425,,
19700,0.003824,0.00037399,,
19800,0.003264,0.00037373,,
19900,0.004581,0.00037347,,
20000,0.002110,0.00037321,nan,0.033942
20100,0.002971,0.00037295,,
20200,0.003422,0.00037270,,
20300,0.004757,0.00037244,,
20400,0.003876,0.00037218,,
20500,0.003312,0.00037192,,
20600,0.003039,0.00037166,,
20700,0.002947,0.00037141,,
20800,0.002560,0.00037115,,
20900,0.002857,0.00037089,,
21000,0.003648,0.00037064,,
21100,0.004368,0.00037038,,
21200,0.003912,0.00037012,,
21300,0.003904,0.00036987,,
21400,0.001695,0.00036961,,
21500,0.003338,0.00036935,,
21600,0.001534,0.00036910,,
21700,0.001623,0.00036884,,
21800,0.004436,0.00036859,,
21900,0.003017,0.00036833,,
22000,0.003588,0.00036808,nan,0.025656
22100,0.004390,0.00036782,,
22200,0.004266,0.00036757,,
22300,0.004046,0.00036731,,
22400,0.003387,0.00036706,,
22500,0.002560,0.00036680,,
22600,0.002320,0.00036655,,
22700,0.002297,0.00036629,,
22800,0.001519,0.00036604,,
22900,0.004409,0.00036579,,
23000,0.003630,0.00036553,,
23100,0.003572,0.00036528,,
23200,0.002933,0.00036503,,
23300,0.004528,0.00036477,,
23400,0.002735,0.00036452,,
23500,0.003888,0.00036427,,
23600,0.003499,0.00036402,,
23700,0.002501,0.00036376,,
23800,0.005789,0.00036351,,
23900,0.003438,0.00036326,,
24000,0.003965,0.00036301,nan,0.033717
24100,0.003082,0.00036276,,
24200,0.003929,0.00036250,,
24300,0.003004,0.00036225,,
24400,0.003388,0.00036200,,
24500,0.003692,0.00036175,,
24600,0.004552,0.00036150,,
24700,0.001482,0.00036125,,
24800,0.002618,0.00036100,,
24900,0.002376,0.00036075,,
25000,0.003843,0.00036050,,
25100,0.003467,0.00036025,,
25200,0.003202,0.00036000,,
25300,0.004196,0.00035975,,
25400,0.002154,0.00035950,,
25500,0.002792,0.00035925,,
25600,0.002913,0.00035900,,
25700,0.003346,0.00035876,,
25800,0.003358,0.00035851,,
25900,0.003682,0.00035826,,
26000,0.002417,0.00035801,nan,0.046819
26100,0.002564,0.00035776,,
26200,0.003878,0.00035751,,
26300,0.003112,0.00035727,,
26400,0.003563,0.00035702,,
26500,0.003789,0.00035677,,
26600,0.003480,0.00035652,,
26700,0.003487,0.00035628,,
26800,0.004027,0.00035603,,
26900,0.004219,0.00035578,,
27000,0.004123,0.00035554,,
27100,0.002281,0.00035529,,
27200,0.004016,0.00035504,,
27300,0.002752,0.00035480,,
27400,0.004142,0.00035455,,
27500,0.002310,0.00035431,,
27600,0.002698,0.00035406,,
27700,0.002132,0.00035382,,
27800,0.002916,0.00035357,,
27900,0.002637,0.00035333,,
28000,0.004349,0.00035308,nan,0.044150
28100,0.002683,0.00035284,,
28200,0.002481,0.00035259,,
28300,0.002923,0.00035235,,
28400,0.002285,0.00035210,,
28500,0.003144,0.00035186,,
28600,0.002920,0.00035162,,
28700,0.002186,0.00035137,,
28800,0.002552,0.00035113,,
28900,0.002313,0.00035089,,
29000,0.003604,0.00035064,,
29100,0.001980,0.00035040,,
29200,0.004541,0.00035016,,
29300,0.003509,0.00034991,,
29400,0.004546,0.00034967,,
29500,0.002185,0.00034943,,
29600,0.002548,0.00034919,,
29700,0.002273,0.00034895,,
29800,0.003707,0.00034870,,
29900,0.002893,0.00034846,,
30000,0.003618,0.00034822,nan,0.056725
30100,0.002903,0.00034798,,
30200,0.002979,0.00034774,,
30300,0.002533,0.00034750,,
30400,0.003606,0.00034726,,
30500,0.003814,0.00034702,,
30600,0.002349,0.00034678,,
30700,0.003333,0.00034653,,
30800,0.002678,0.00034629,,
30900,0.003337,0.00034605,,
31000,0.003363,0.00034581,,
31100,0.003079,0.00034558,,
31200,0.002450,0.00034534,,
31300,0.002563,0.00034510,,
31400,0.002680,0.00034486,,
31500,0.002276,0.00034462,,
31600,0.002245,0.00034438,,
31700,0.002767,0.00034414,,
31800,0.004408,0.00034390,,
31900,0.004389,0.00034366,,
32000,0.003371,0.00034343,nan,0.074455
32100,0.002648,0.00034319,,
32200,0.003440,0.00034295,,
32300,0.004540,0.00034271,,
32400,0.003126,0.00034248,,
32500,0.002212,0.00034224,,
32600,0.003462,0.00034200,,
32700,0.002148,0.00034176,,
32800,0.002592,0.00034153,,
32900,0.002764,0.00034129,,
33000,0.003491,0.00034105,,
33100,0.002858,0.00034082,,
33200,0.003135,0.00034058,,
33300,0.002442,0.00034035,,
33400,0.002586,0.00034011,,
33500,0.002692,0.00033987,,
33600,0.002391,0.00033964,,
33700,0.002803,0.00033940,,
33800,0.002588,0.00033917,,
33900,0.001322,0.00033893,,
34000,0.002469,0.00033870,nan,0.047459
34100,0.003170,0.00033846,,
34200,0.003721,0.00033823,,
34300,0.003124,0.00033799,,
34400,0.002327,0.00033776,,
34500,0.003455,0.00033753,,
34600,0.003908,0.00033729,,
34700,0.003834,0.00033706,,
34800,0.002965,0.00033683,,
34900,0.003314,0.00033659,,
35000,0.002332,0.00033636,,
35100,0.001345,0.00033613,,
35200,0.003073,0.00033589,,
35300,0.002937,0.00033566,,
35400,0.002189,0.00033543,,
35500,0.002609,0.00033519,,
35600,0.003402,0.00033496,,
35700,0.003602,0.00033473,,
35800,0.002697,0.00033450,,
35900,0.002373,0.00033427,,
36000,0.003894,0.00033404,nan,0.061591
36100,0.002679,0.00033380,,
36200,0.002961,0.00033357,,
36300,0.002004,0.00033334,,
36400,0.001944,0.00033311,,
36500,0.002305,0.00033288,,
36600,0.003414,0.00033265,,
36700,0.001995,0.00033242,,
36800,0.003678,0.00033219,,
36900,0.001468,0.00033196,,
37000,0.004579,0.00033173,,
37100,0.002492,0.00033150,,
37200,0.003539,0.00033127,,
37300,0.000640,0.00033104,,
37400,0.004002,0.00033081,,
37500,0.003057,0.00033058,,
37600,0.002706,0.00033035,,
37700,0.002071,0.00033012,,
37800,0.004155,0.00032989,,
37900,0.002869,0.00032966,,
38000,0.002315,0.00032944,nan,0.062076
38100,0.004475,0.00032921,,
38200,0.002667,0.00032898,,
38300,0.002902,0.00032875,,
38400,0.002915,0.00032852,,
38500,0.002526,0.00032830,,
38600,0.002431,0.00032807,,
38700,0.002180,0.00032784,,
38800,0.004133,0.00032761,,
38900,0.002649,0.00032739,,
39000,0.002678,0.00032716,,
39100,0.002899,0.00032693,,
39200,0.003242,0.00032671,,
39300,0.002439,0.00032648,,
39400,0.002817,0.00032625,,
39500,0.002040,0.00032603,,
39600,0.003483,0.00032580,,
39700,0.003756,0.00032558,,
39800,0.002596,0.00032535,,
39900,0.002803,0.00032513,,
40000,0.002227,0.00032490,nan,0.042459
40100,0.001976,0.00032468,,
40200,0.003303,0.00032445,,
40300,0.002021,0.00032423,,
40400,0.002791,0.00032400,,
40500,0.003095,0.00032378,,
40600,0.002081,0.00032355,,
40700,0.004454,0.00032333,,
40800,0.002012,0.00032310,,
40900,0.003106,0.00032288,,
41000,0.003352,0.00032266,,
41100,0.002785,0.00032243,,
41200,0.003034,0.00032221,,
41300,0.002700,0.00032199,,
41400,0.002750,0.00032176,,
41500,0.002509,0.00032154,,
41600,0.001556,0.00032132,,
41700,0.002305,0.00032109,,
41800,0.002204,0.00032087,,
41900,0.002269,0.00032065,,
42000,0.001787,0.00032043,nan,0.043610
42100,0.002683,0.00032021,,
42200,0.003048,0.00031998,,
42300,0.001702,0.00031976,,
42400,0.003087,0.00031954,,
42500,0.003273,0.00031932,,
42600,0.002267,0.00031910,,
42700,0.003235,0.00031888,,
42800,0.002566,0.00031866,,
42900,0.002766,0.00031844,,
43000,0.002940,0.00031821,,
43100,0.001838,0.00031799,,
43200,0.002959,0.00031777,,
43300,0.003117,0.00031755,,
43400,0.002325,0.00031733,,
43500,0.003312,0.00031711,,
43600,0.003185,0.00031689,,
43700,0.003060,0.00031667,,
43800,0.001516,0.00031645,,
43900,0.003331,0.00031624,,
44000,0.002811,0.00031602,nan,0.031689
44100,0.002517,0.00031580,,
44200,0.003244,0.00031558,,
44300,0.004451,0.00031536,,
44400,0.002352,0.00031514,,
44500,0.002202,0.00031492,,
44600,0.003132,0.00031470,,
44700,0.002851,0.00031449,,
44800,0.001985,0.00031427,,
44900,0.002294,0.00031405,,
45000,0.004034,0.00031383,,
45100,0.002361,0.00031362,,
45200,0.003392,0.00031340,,
45300,0.002192,0.00031318,,
45400,0.002023,0.00031296,,
45500,0.002034,0.00031275,,
45600,0.002530,0.00031253,,
45700,0.001791,0.00031231,,
45800,0.001872,0.00031210,,
45900,0.002374,0.00031188,,
46000,0.002644,0.00031167,nan,0.045111
46100,0.002161,0.00031145,,
46200,0.001890,0.00031123,,
46300,0.001862,0.00031102,,
46400,0.002479,0.00031080,,
46500,0.002640,0.00031059,,
46600,0.003019,0.00031037,,
46700,0.001744,0.00031016,,
46800,0.001780,0.00030994,,
46900,0.001902,0.00030973,,
47000,0.002259,0.00030951,,
47100,0.002874,0.00030930,,
47200,0.003057,0.00030908,,
47300,0.003729,0.00030887,,
47400,0.002326,0.00030866,,
47500,0.002144,0.00030844,,
47600,0.002005,0.00030823,,
47700,0.002345,0.00030801,,
47800,0.001832,0.00030780,,
47900,0.003349,0.00030759,,
48000,0.002427,0.00030738,nan,0.073921
48100,0.003274,0.00030716,,
